Gmt time,Open,High,Low,Close,Volume
07.05.2021 13:00:00.000,1.07697,1.07844,1.07658,1.07827,14412440429.6875
07.05.2021 14:00:00.000,1.07826,1.07850,1.07734,1.07797,7065680175.7813
07.05.2021 15:00:00.000,1.07795,1.07796,1.07660,1.07739,5218450195.3125
07.05.2021 16:00:00.000,1.07738,1.07786,1.07715,1.07749,3488219970.7031
07.05.2021 17:00:00.000,1.07749,1.07785,1.07723,1.07739,3815679931.6406
07.05.2021 18:00:00.000,1.07737,1.07774,1.07704,1.07731,3063389892.5781
07.05.2021 19:00:00.000,1.07727,1.07773,1.07721,1.07749,3081290039.0625
07.05.2021 20:00:00.000,1.07750,1.07756,1.07651,1.07670,1656709960.9375
09.05.2021 21:00:00.000,1.07692,1.07785,1.07691,1.07763,286850006.1035
09.05.2021 22:00:00.000,1.07762,1.07780,1.07709,1.07752,1357739990.2344
09.05.2021 23:00:00.000,1.07751,1.07751,1.07664,1.07720,1698979980.4688
10.05.2021 00:00:00.000,1.07720,1.07846,1.07709,1.07765,2541080078.125
10.05.2021 01:00:00.000,1.07764,1.07829,1.07750,1.07808,2011140014.6484
10.05.2021 02:00:00.000,1.07808,1.07857,1.07761,1.07786,1972869995.1172
10.05.2021 03:00:00.000,1.07788,1.07856,1.07774,1.07853,1372160034.1797
10.05.2021 04:00:00.000,1.07853,1.07874,1.07806,1.07815,920429992.6758
10.05.2021 05:00:00.000,1.07813,1.07912,1.07809,1.07907,1587069946.2891
10.05.2021 06:00:00.000,1.07910,1.07918,1.07854,1.07881,5313620117.1875
10.05.2021 07:00:00.000,1.07881,1.07914,1.07830,1.07894,5568140136.7188
10.05.2021 08:00:00.000,1.07893,1.07964,1.07879,1.07950,5219879882.8125
10.05.2021 09:00:00.000,1.07950,1.07991,1.07936,1.07990,2960439941.4063
10.05.2021 10:00:00.000,1.07992,1.08094,1.07982,1.08026,3781209960.9375
10.05.2021 11:00:00.000,1.08026,1.08095,1.08026,1.08049,4448790039.0625
10.05.2021 12:00:00.000,1.08051,1.08110,1.08016,1.08102,3460620117.1875
10.05.2021 13:00:00.000,1.08103,1.08132,1.07979,1.07984,6560270019.5313
10.05.2021 14:00:00.000,1.07982,1.07999,1.07839,1.07863,6520879882.8125
10.05.2021 15:00:00.000,1.07864,1.07882,1.07810,1.07819,3582209960.9375
10.05.2021 16:00:00.000,1.07819,1.07841,1.07777,1.07839,2438270019.5313
10.05.2021 17:00:00.000,1.07840,1.07849,1.07800,1.07812,2556219970.7031
